,FIS code,Athlete,Year,Nation,Podiums,Wins,Top 10
107,3421164,SKAR Sindre Bjoernestad,1992.0,NOR,2.0,1.0,6.0
108,3180990,HAARALA Juuso,1996.0,FIN,0.0,0.0,1.0
109,3421320,IVERSEN Emil,1991.0,NOR,5.0,0.0,10.0
110,3180865,VUORINEN Lauri,1995.0,FIN,0.0,0.0,2.0
111,3500330,PETERSON Teodor,1988.0,SWE,0.0,0.0,2.0
112,3481163,RETIVYKH Gleb,1991.0,RUS,1.0,0.0,9.0
113,3500664,HALFVARSSON Calle,1989.0,SWE,0.0,0.0,7.0
114,3190323,CHANAVAT Lucas,1994.0,FRA,4.0,3.0,7.0
115,3481988,SEMIKOV Ilia,1993.0,RUS,2.0,0.0,4.0
116,3180984,LEPISTO Lauri,1996.0,FIN,0.0,0.0,1.0
117,3290379,DE FABIANI Francesco,1993.0,ITA,0.0,0.0,3.0
118,3180436,MIKKONEN Juho,1990.0,FIN,0.0,0.0,1.0
119,3560121,LAMPIC Janez,1996.0,SLO,0.0,0.0,0.0
120,3481432,MALTSEV Artem,1993.0,RUS,0.0,0.0,3.0
121,3501255,SVENSSON Oskar,1995.0,SWE,0.0,0.0,3.0
122,3670075,BORTSOV Konstantin,1995.0,KAZ,0.0,0.0,1.0
123,3530713,BOLGER Kevin,1993.0,USA,0.0,0.0,2.0
124,3481132,LARKOV Andrey,1989.0,RUS,1.0,0.0,5.0
125,3190111,MANIFICAT Maurice,1986.0,FRA,0.0,0.0,2.0
126,3181098,SUHONEN Verneri,1997.0,FIN,0.0,0.0,0.0
127,3181015,HAKALA Karri,1996.0,FIN,0.0,0.0,0.0
128,3150570,NOVAK Michal,1996.0,CZE,0.0,0.0,0.0
129,3120031,SUN Qinghai,1988.0,CHN,0.0,0.0,0.0
130,3420994,TOENSETH Didrik,1991.0,NOR,0.0,0.0,5.0
131,3482105,YAKIMUSHKIN Ivan,1996.0,RUS,3.0,1.0,8.0
132,3150549,SELLER Ludek,1995.0,CZE,0.0,0.0,0.0
133,3180557,HYVARINEN Perttu,1991.0,FIN,0.0,0.0,4.0
134,3660055,VORANAU Aliaksandr,1990.0,BLR,0.0,0.0,0.0
135,3290446,ZELGER Stefan,1995.0,ITA,0.0,0.0,3.0
136,3501252,JONSSON Olof,1995.0,SWE,0.0,0.0,0.0
137,3420228,SUNDBY Martin Johnsrud,1984.0,NOR,0.0,0.0,4.0
138,3530511,BJORNSEN Erik,1991.0,USA,0.0,0.0,1.0
139,3300373,MIYAZAWA Hiroyuki,1991.0,JPN,0.0,0.0,0.0
140,3481803,MELNICHENKO Andrey,1992.0,RUS,2.0,0.0,9.0
141,3530120,HAMILTON Simeon,1987.0,USA,0.0,0.0,1.0
142,3200676,BRUGGER Janosch,1997.0,GER,0.0,0.0,1.0
143,3180301,LEHTONEN Lari,1987.0,FIN,0.0,0.0,1.0
144,3560101,SIMENC Miha,1995.0,SLO,0.0,0.0,3.0
145,3430233,BURY Kamil,1995.0,POL,0.0,0.0,0.0
146,3510366,SCHNIDER Ueli,1990.0,SUI,0.0,0.0,0.0
147,3430103,STAREGA Maciej,1990.0,POL,0.0,0.0,0.0
148,3181007,VUORELA Markus,1996.0,FIN,0.0,0.0,2.0
149,3510023,COLOGNA Dario,1986.0,SUI,2.0,0.0,10.0
150,3421779,KRUEGER Simen Hegstad,1993.0,NOR,7.0,2.0,14.0
151,3181239,AHONEN Olli,1999.0,FIN,0.0,0.0,0.0
152,3670077,DYUSSENOV Asset,1997.0,KAZ,0.0,0.0,0.0
153,3190255,GROS Baptiste,1990.0,FRA,0.0,0.0,0.0
154,3190268,BACKSCHEIDER Adrien,1992.0,FRA,0.0,0.0,1.0
155,3501259,EKSTROEM Axel,1995.0,SWE,0.0,0.0,1.0
156,3150637,PECHOUSEK Jan,1997.0,CZE,0.0,0.0,0.0
157,3670078,KLIMIN Olzhas,1996.0,KAZ,0.0,0.0,2.0
158,3690074,KRASOVSKYI Oleksii,1994.0,UKR,0.0,0.0,0.0
159,3501223,BURMAN Jens,1994.0,SWE,0.0,0.0,3.0
160,3181163,KARPPANEN Miro,1998.0,FIN,0.0,0.0,0.0
161,3482350,POROSHKIN Ilia,1995.0,RUS,1.0,1.0,1.0
162,3501297,SANDSTROEM Bjoern,1995.0,SWE,0.0,0.0,2.0
163,3390207,ROOS Henri,1998.0,EST,0.0,0.0,0.0
164,3420605,ROETHE Sjur,1988.0,NOR,7.0,2.0,19.0
165,3200210,EISENLAUER Sebastian,1990.0,GER,0.0,0.0,2.0
166,3420586,HOLUND Hans Christer,1989.0,NOR,5.0,1.0,16.0
