,Rank,Bib,FIS code,Athlete,Year,Nation,Time,Diff. Time,FIS Points,Event,Place,Date,Result Type,Season
82,83,82,3535448,FRANKOWSKI Rosie,1991,USA,3:28.94,+25.93,170.02,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
83,84,84,3675049,BYKOVA Irina,1993,KAZ,3:28.97,+25.96,170.22,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
84,85,89,3675036,MANDRIKA Olga,1993,KAZ,3:29.80,+26.79,175.66,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
85,86,85,3695082,KROL Yuliia,1998,UKR,3:29.91,+26.90,176.38,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
86,87,81,3486232,GOLOVAN Diana,1994,RUS,3:34.26,+31.25,204.91,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
87,88,87,3675066,TYULENEVA Valeriya,1997,KAZ,3:36.00,+32.99,216.32,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
88,89,90,3325046,HAN Dasom,1994,KOR,3:43.18,+40.17,263.40,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
89,90,88,3125067,MA Chun,1994,CHN,3:44.79,+41.78,273.95,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
90,91,92,3325085,LEE Eui Jin,2001,KOR,3:46.98,+43.97,288.31,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
91,92,91,3745008,GALSTYAN Katya,1993,ARM,3:53.70,+50.69,332.38,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
92,1,10,3422819,KLAEBO Johannes Hoesflot,1996,NOR,2:37.42,2:37.42,0.00,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
93,2,25,3422619,VALNES Erik,1996,NOR,2:38.94,+1.52,11.59,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
94,3,11,3290326,PELLEGRINO Federico,1990,ITA,2:40.34,+2.92,22.26,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
95,4,27,3420909,GOLBERG Paal,1990,NOR,2:41.31,+3.89,29.65,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
96,5,37,3501010,HAEGGSTROEM Johan,1992,SWE,2:42.35,+4.93,37.58,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
97,6,26,3180861,MAEKI Joni,1995,FIN,2:42.38,+4.96,37.81,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
98,7,3,3180508,HAKOLA Ristomatti,1991,FIN,2:42.84,+5.42,41.32,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
99,8,9,3481539,USTIUGOV Sergey,1992,RUS,2:42.94,+5.52,42.08,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
100,9,46,3390169,KILP Marko,1993,EST,2:43.04,+5.62,42.84,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
101,10,14,3180535,NISKANEN Iivo,1992,FIN,2:43.52,+6.10,46.50,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
102,11,7,3482277,BOLSHUNOV Alexander,1996,RUS,2:43.60,+6.18,47.11,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
103,12,33,3510377,HEDIGER Jovian,1990,SUI,2:43.63,+6.21,47.34,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
104,13,34,3190353,CHAUVIN Valentin,1995,FRA,2:44.25,+6.83,52.06,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
105,14,41,3290383,RASTELLI Maicol,1991,ITA,2:44.34,+6.92,52.75,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
106,15,23,3190345,JOUVE Richard,1994,FRA,2:44.62,+7.20,54.89,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
107,16,8,3421164,SKAR Sindre Bjoernestad,1992,NOR,2:44.76,+7.34,55.95,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
108,17,44,3180990,HAARALA Juuso,1996,FIN,2:44.83,+7.41,56.49,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
109,18,5,3421320,IVERSEN Emil,1991,NOR,2:44.84,+7.42,56.56,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
110,19,39,3180865,VUORINEN Lauri,1995,FIN,2:44.99,+7.57,57.71,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
111,20,32,3500330,PETERSON Teodor,1988,SWE,2:45.26,+7.84,59.76,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
112,21,21,3481163,RETIVYKH Gleb,1991,RUS,2:45.28,+7.86,59.92,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
113,22,12,3500664,HALFVARSSON Calle,1989,SWE,2:45.35,+7.93,60.45,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
114,23,18,3190323,CHANAVAT Lucas,1994,FRA,2:45.61,+8.19,62.43,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
115,24,45,3481988,SEMIKOV Ilia,1993,RUS,2:45.63,+8.21,62.58,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
116,25,57,3180984,LEPISTO Lauri,1996,FIN,2:45.64,+8.22,62.66,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
117,26,20,3290379,DE FABIANI Francesco,1993,ITA,2:45.74,+8.32,63.42,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
118,27,68,3180436,MIKKONEN Juho,1990,FIN,2:45.92,+8.50,64.79,Men's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
