,Rank,Bib,FIS code,Athlete,Year,Nation,Time,Diff. Time,FIS Points,Event,Place,Date,Result Type,Season
4137,55,58,3155231,MORAVCOVA Klara,1983,CZE,33:59.9,+7:10.2,144.77,Women's 10 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4138,56,60,3155356,HAVLICKOVA Barbora,2000,CZE,34:21.9,+7:32.2,153.72,Women's 10 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4139,57,54,3155306,SIXTOVA Anna,1996,CZE,34:31.0,+7:41.3,188.08,Women's 10 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4140,58,59,3705003,PROCHAZKOVA Alena,1984,SVK,34:52.5,+8:02.8,183.24,Women's 10 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4141,59,57,3665023,KAMINSKA Valentyna,1987,UKR,34:59.2,+8:09.5,193.45,Women's 10 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4142,60,62,3155357,HOLIKOVA Zuzana,1999,CZE,35:29.5,+8:39.8,169.82,Women's 10 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4143,61,61,3695082,KROL Yuliia,1998,UKR,36:06.2,+9:16.5,209.85,Women's 10 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4144,1,1,3482277,BOLSHUNOV Alexander,1996,RUS,37:01.3,37:01.3,14.10,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4145,2,7,3422819,KLAEBO Johannes Hoesflot,1996,NOR,37:48.0,+46.7,0.27,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4146,3,8,3421779,KRUEGER Simen Hegstad,1993,NOR,37:48.5,+47.2,0.00,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4147,4,3,3420605,ROETHE Sjur,1988,NOR,37:49.0,+47.7,18.31,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4148,5,2,3180535,NISKANEN Iivo,1992,FIN,37:57.5,+56.2,31.70,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4149,6,4,3481803,MELNICHENKO Andrey,1992,RUS,38:33.6,+1:32.3,35.04,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4150,7,6,3180557,HYVARINEN Perttu,1991,FIN,38:44.9,+1:43.6,37.39,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4151,8,10,3420994,TOENSETH Didrik,1991,NOR,38:45.0,+1:43.7,26.51,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4152,9,5,1345875,GAILLARD Jean Marc,1980,FRA,38:47.9,+1:46.6,42.30,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4153,10,16,3290379,DE FABIANI Francesco,1993,ITA,39:27.5,+2:26.2,40.45,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4154,11,13,3190302,PARISSE Clement,1993,FRA,39:32.0,+2:30.7,45.64,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4155,12,18,3180508,HAKOLA Ristomatti,1991,FIN,39:32.8,+2:31.5,41.16,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4156,13,20,3481132,LARKOV Andrey,1989,RUS,39:33.3,+2:32.0,37.06,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4157,14,15,3481432,MALTSEV Artem,1993,RUS,39:34.1,+2:32.8,45.69,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4158,15,14,3190268,BACKSCHEIDER Adrien,1992,FRA,39:34.9,+2:33.6,47.22,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4159,16,17,3200376,NOTZ Florian,1992,GER,39:35.4,+2:34.1,43.67,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4160,17,12,3020003,ESTEVE ALTIMIRAS Ireneu,1996,AND,39:37.2,+2:35.9,49.57,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4161,18,11,3190529,LAPALUS Hugo,1998,FRA,39:47.4,+2:46.1,59.52,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4162,19,33,3500664,HALFVARSSON Calle,1989,SWE,39:56.7,+2:55.4,23.61,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4163,20,9,3482119,CHERVOTKIN Alexey,1995,RUS,39:56.9,+2:55.6,69.63,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4164,21,21,3200356,DOBLER Jonas,1991,GER,40:03.1,+3:01.8,51.16,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4165,22,25,3500015,RICHARDSSON Daniel,1982,SWE,40:04.9,+3:03.6,39.57,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4166,23,24,3480695,BESSMERTNYKH Alexander,1986,RUS,40:06.8,+3:05.5,41.70,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4167,24,28,3190353,CHAUVIN Valentin,1995,FRA,40:27.8,+3:26.5,50.45,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4168,25,31,3290407,SALVADORI Giandomenico,1992,ITA,40:38.5,+3:37.2,47.55,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4169,26,22,3510534,KLEE Beda,1996,SUI,40:39.5,+3:38.2,67.77,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4170,27,19,3220016,YOUNG Andrew,1992,GBR,40:40.0,+3:38.7,76.79,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4171,28,34,3510342,BAUMANN Jonas,1990,SUI,40:40.6,+3:39.3,47.06,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4172,29,23,3422115,TEFRE Gjoeran,1994,NOR,40:42.3,+3:41.0,67.67,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4173,30,27,3530496,NORRIS David,1990,USA,40:45.1,+3:43.8,61.00,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4174,31,49,3481755,VOKUEV Ermil,1992,RUS,40:47.4,+3:46.1,22.90,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4175,32,41,3290245,NOECKLER Dietmar,1988,ITA,41:01.6,+4:00.3,45.42,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4176,33,36,3430249,BURY Dominik,1996,POL,41:15.0,+4:13.7,58.76,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4177,34,29,3501223,BURMAN Jens,1994,SWE,41:16.6,+4:15.3,72.75,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4178,35,26,3490145,ROJO Imanol,1990,ESP,41:18.5,+4:17.2,79.25,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4179,36,37,3460018,PEPENE Paul Constantin,1988,ROU,41:29.1,+4:27.8,66.46,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4180,37,46,3200331,WICK Thomas,1991,GER,41:40.7,+4:39.4,58.05,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4181,38,40,3150509,KNOP Petr,1994,CZE,41:46.6,+4:45.3,72.20,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4182,39,39,3150519,FELLNER Adam,1993,CZE,41:58.1,+4:56.8,78.49,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4183,40,44,3501741,POROMAA William,2000,SWE,42:05.2,+5:03.9,71.98,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4184,41,64,3421320,IVERSEN Emil,1991,NOR,42:08.6,+5:07.3,18.64,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4185,42,45,3670115,PUKHKALO Vitaliy,1992,KAZ,42:13.9,+5:12.6,76.74,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4186,43,30,3190548,CHAPPAZ Jules,1999,FRA,42:20.0,+5:18.7,107.40,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4187,44,48,3270010,MALONEY WESTGAARD Thomas,1995,IRL,42:25.7,+5:24.4,77.18,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4188,45,32,3300494,BABA Naoto,1996,JPN,42:34.4,+5:33.1,110.90,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4189,46,51,3181007,VUORELA Markus,1996,FIN,42:55.0,+5:53.7,84.99,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4190,47,42,3200676,BRUGGER Janosch,1997,GER,43:06.6,+6:05.3,112.10,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4191,48,50,3510351,FURGER Roman,1990,SUI,43:23.1,+6:21.8,106.91,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4192,49,58,3510472,BIELER Livio,1993,SUI,43:28.0,+6:26.7,83.90,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4193,50,53,3501577,ANDERSSON Fredrik,1998,SWE,43:37.0,+6:35.7,102.48,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4194,51,47,3300373,MIYAZAWA Hiroyuki,1991,JPN,43:44.0,+6:42.7,123.80,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4195,52,62,3501462,ERIKSSON Jonas,1997,SWE,43:49.4,+6:48.1,83.57,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4196,53,52,3700081,KORISTEK Jan,1996,SVK,43:58.8,+6:57.5,118.22,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4197,54,54,3670022,VELICHKO Yevgeniy,1987,KAZ,44:12.5,+7:11.2,119.70,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4198,55,60,3150462,RYPL Miroslav,1992,CZE,44:13.2,+7:11.9,101.50,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4199,56,57,3150635,KALIVODA Tomas,1998,CZE,44:21.0,+7:19.7,115.60,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4200,57,55,3120063,SHANG Jincai,1993,CHN,44:29.0,+7:27.7,127.08,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4201,58,61,3150559,BESTAK Jonas,1995,CZE,44:55.4,+7:54.1,120.19,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4202,59,66,3430276,HARATYK Mateusz,1998,POL,45:00.9,+7:59.6,108.44,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4203,60,71,3200072,KATZ Andreas,1988,GER,45:13.5,+8:12.2,85.81,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4204,61,63,3482806,TERENTEV Alexander,1999,RUS,45:19.5,+8:18.2,132.27,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4205,62,65,3150741,KOZLOVSKY Vladimir,1999,CZE,45:19.8,+8:18.5,120.41,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4206,63,69,3670078,KLIMIN Olzhas,1996,KAZ,45:29.7,+8:28.4,100.68,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4207,64,68,3530814,TORCHIA Ian,1996,USA,45:58.8,+8:57.5,117.13,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4208,65,67,3670075,BORTSOV Konstantin,1995,KAZ,46:11.2,+9:09.9,132.11,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4209,66,72,3150694,LUKES Tomas,2000,CZE,46:38.8,+9:37.5,124.24,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4210,67,74,3430257,SKOWRON Michal,1998,POL,47:36.6,+10:35.3,125.77,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4211,68,75,3690074,KRASOVSKYI Oleksii,1994,UKR,48:15.3,+11:14.0,136.53,Men's 15 km C Pursuit,Nove Mesto (CZE),"Jan 19, 2020",World Cup,2020
4212,1,1,3425301,JOHAUG Therese,1988,NOR,40:05.2,40:05.2,0.00,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4213,2,5,3425410,OESTBERG Ingvild Flugstad,1990,NOR,40:20.7,+15.5,9.02,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4214,3,7,3055067,STADLOBER Teresa,1993,AUT,40:20.8,+15.6,9.08,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4215,4,11,3505990,ANDERSSON Ebba,1997,SWE,40:20.9,+15.7,9.14,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4216,5,10,3185256,PARMAKOSKI Krista,1990,FIN,40:28.1,+22.9,13.33,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4217,6,3,3486010,NEPRYAEVA Natalia,1995,RUS,40:28.6,+23.4,13.62,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4218,7,2,3425499,WENG Heidi,1991,NOR,40:29.1,+23.9,13.91,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4219,8,9,3185168,NISKANEN Kerttu,1988,FIN,40:48.9,+43.7,25.44,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4220,9,6,3425183,JACOBSEN Astrid Uhrenholdt,1987,NOR,41:28.0,+1:22.8,48.20,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4221,10,12,3205460,HENNIG Katharina,1996,GER,41:30.3,+1:25.1,49.53,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4222,11,14,3506079,LUNDGREN Moa,1998,SWE,41:41.6,+1:36.4,56.11,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4223,12,8,3505217,KALLA Charlotte,1987,SWE,41:43.4,+1:38.2,57.16,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4224,13,16,3426201,WENG Tiril Udnes,1996,NOR,41:45.3,+1:40.1,58.27,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4225,14,19,3195219,CLAUDEL Delphine,1996,FRA,41:45.5,+1:40.3,58.38,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4226,15,23,3506008,RIBOM Emma,1997,SWE,41:51.0,+1:45.8,61.58,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4227,16,43,3486592,DUBOTOLKINA Nina,1998,RUS,41:51.0,+1:45.8,61.58,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4228,17,13,3535316,BRENNAN Rosie,1988,USA,41:51.8,+1:46.6,62.05,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4229,18,51,3205434,KREHL Sofie,1995,GER,41:52.9,+1:47.7,62.69,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4230,19,15,3155314,RAZYMOVA Katerina,1991,CZE,41:53.6,+1:48.4,63.10,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4231,20,17,3205403,CARL Victoria,1995,GER,41:55.0,+1:49.8,63.91,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4232,21,18,3185137,KYLLOENEN Anne,1987,FIN,41:55.2,+1:50.0,64.03,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4233,22,4,3535410,DIGGINS Jessica,1991,USA,42:00.2,+1:55.0,66.94,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4234,23,20,3485862,ZHAMBALOVA Alisa,1994,RUS,42:04.9,+1:59.7,69.67,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4235,24,22,1274580,ISHIDA Masako,1980,JPN,42:06.0,+2:00.8,70.31,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4236,25,24,3515221,FAEHNDRICH Nadine,1995,SUI,42:16.8,+2:11.6,76.60,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4237,26,21,3486314,KIRPICHENKO Yana,1996,RUS,42:17.8,+2:12.6,77.18,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4238,27,38,3505828,DYVIK Anna,1994,SWE,42:28.1,+2:22.9,83.18,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4239,28,30,3505956,ROENNLUND Elina,1996,SWE,42:28.5,+2:23.3,83.41,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4240,29,31,3205407,FINK Pia,1995,GER,42:36.1,+2:30.9,87.83,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4241,30,44,3425397,HARSEM Kathrine Rolsted,1989,NOR,42:39.4,+2:34.2,89.76,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4242,31,45,3105214,STEWART-JONES Katherine,1995,CAN,42:45.4,+2:40.2,93.25,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4243,32,28,3195205,BENTZ Coralie,1996,FRA,42:46.2,+2:41.0,93.71,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4244,33,25,3185114,MONONEN Laura,1984,FIN,43:02.0,+2:56.8,102.91,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4245,34,40,3535385,PATTERSON Caitlin,1990,USA,43:21.7,+3:16.5,114.38,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4246,35,34,3295322,COMARELLA Anna,1997,ITA,43:23.0,+3:17.8,115.13,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4247,36,27,3486373,SMIRNOVA Ekaterina,1996,RUS,43:27.5,+3:22.3,117.75,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4248,37,42,3205491,FRAEBEL Antonia,1997,GER,43:27.5,+3:22.3,117.75,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4249,38,47,3185343,SAAPUNKI Susanna,1992,FIN,43:31.1,+3:25.9,119.85,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4250,39,37,3185633,NISSINEN Vilma,1997,FIN,43:36.3,+3:31.1,122.88,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4251,40,55,3426200,WENG Lotta Udnes,1996,NOR,43:36.3,+3:31.1,122.88,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4252,41,39,3675066,TYULENEVA Valeriya,1997,KAZ,43:54.6,+3:49.4,133.53,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4253,42,53,3125082,CHI Chunxue,1998,CHN,43:56.5,+3:51.3,134.63,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4254,43,33,3435197,MARCISZ Izabela,2000,POL,44:03.0,+3:57.8,138.42,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4255,44,41,3555052,EIDUKA Patricija,2000,LAT,44:03.1,+3:57.9,138.47,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4256,45,29,3155249,NOVAKOVA Petra,1993,CZE,44:05.7,+4:00.5,139.99,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4257,46,32,3295370,FRANCHI Francesca,1997,ITA,44:32.5,+4:27.3,155.59,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4258,47,49,3105146,BEATTY Dahria,1994,CAN,44:59.2,+4:54.0,171.13,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4259,48,36,3675035,SHEVCHENKO Anna,1993,KAZ,45:04.9,+4:59.7,174.45,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4260,49,56,3125070,MA Qinghua,1995,CHN,45:14.6,+5:09.4,180.09,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4261,50,46,3675036,MANDRIKA Olga,1993,KAZ,45:28.4,+5:23.2,188.13,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4262,51,48,3535659,SONNESYN Alayna,1996,USA,45:50.3,+5:45.1,200.87,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4263,52,35,3486471,ZHEREBYATEVA Anna,1997,RUS,45:56.1,+5:50.9,204.25,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4264,53,50,3675049,BYKOVA Irina,1993,KAZ,47:20.4,+7:15.2,253.32,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4265,54,52,3435202,KALETA Weronika,1999,POL,48:34.2,+8:29.0,296.27,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4266,55,54,3435192,KOBIELUSZ Magdalena,2000,POL,49:44.3,+9:39.1,337.08,Women's Skiathlon 7.5/7.5km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4267,1,1,3482277,BOLSHUNOV Alexander,1996,RUS,1:13:40.6,1:13:40.6,0.00,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4268,2,6,3421779,KRUEGER Simen Hegstad,1993,NOR,1:13:41.5,+0.9,0.29,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4269,3,4,3420605,ROETHE Sjur,1988,NOR,1:13:41.8,+1.2,0.38,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4270,4,20,3420228,SUNDBY Martin Johnsrud,1984,NOR,1:13:43.1,+2.5,0.79,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4271,5,7,3420586,HOLUND Hans Christer,1989,NOR,1:13:43.5,+2.9,0.92,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4272,6,13,3481132,LARKOV Andrey,1989,RUS,1:13:46.7,+6.1,1.93,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4273,7,12,3510023,COLOGNA Dario,1986,SUI,1:13:48.3,+7.7,2.44,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4274,8,2,3180535,NISKANEN Iivo,1992,FIN,1:13:57.9,+17.3,5.48,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4275,9,31,3481161,BELOV Evgeniy,1990,RUS,1:13:59.4,+18.8,5.95,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4276,10,23,3480695,BESSMERTNYKH Alexander,1986,RUS,1:13:59.7,+19.1,6.05,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4277,11,22,3200356,DOBLER Jonas,1991,GER,1:14:01.5,+20.9,6.62,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4278,12,60,3200072,KATZ Andreas,1988,GER,1:14:02.9,+22.3,7.06,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4279,13,33,3510342,BAUMANN Jonas,1990,SUI,1:14:08.5,+27.9,8.84,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4280,14,35,3200376,NOTZ Florian,1992,GER,1:14:16.7,+36.1,11.43,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4281,15,10,3482280,SPITSOV Denis,1996,RUS,1:14:24.5,+43.9,13.90,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4282,16,11,3501223,BURMAN Jens,1994,SWE,1:14:27.1,+46.5,14.73,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
4283,17,30,3300494,BABA Naoto,1996,JPN,1:14:35.6,+55.0,17.42,Men's Skiathlon 15/15km C/F,Oberstdorf (GER),"Jan 25, 2020",World Cup,2020
